vendor,name,version,svd,sha256sum
3PEAK,TPS325M0_DFP,1.0.0,TPS325M0x,930d28c13fd9918da893cd6b1889710c22144baf0c41350543e6a3849a7bf83b
3PEAK,TPS325M5_DFP,1.0.0,TPS325M5x,12df6e8e931511dadf5f37be5a48e1dd2ecc1b92181ffcb0c1d8a4b485b89ebe
ABOV,A31G1xx_Series,2.5.0,A31G12x,d5451b69314918103405c67c232a34397698d0a4419b28364bd01159c7e586cc
ABOV,A31G1xx_Series,2.5.0,A31G11x,dc2d1c8653f6bd91c8e89348ae7e02447e8a5c3ba253685053bb35f880680c29
ABOV,A31G21x_Series,1.5.1,A31G21x,503684e0329fa826654d026bc4e1f52bfacae8061269a30441b8baeb84da9fa6
ABOV,A31G22x_Series,1.0.0,A31G22x,39945d3d371c35b1651546a12b097801f590864ba46bfc01e9d78115713a7318
ABOV,A31G31x_Series,1.0.0,A31G31x,21cb7cf42acf3ed4cefff40dcf0855a65c56177612065ef66c62e57615db7735
ABOV,A31G32x_Series,1.0.0,A31G32x,47fdc3a15080ee99c6b0a6e8a94e0619e647497b3651b46e0d7b655f6d29c31d
ABOV,A31L12x_Series,1.4.0,A31L12x,5535eb1c31ef4021bf763d4ceb1717a29b8727eebfa7a712ab2b8defd0c792f9
ABOV,A31R71x_Series,1.5.0,A31R71x,cdd9274afddaf846d23fb9c2983d612314fc81dcaf394f81508f4cb7a12721da
ABOV,A31T21x_Series,1.0.0,a31t21x,1be5023bb95c21e0b259982c367bdb66841ccd3888c11e7a157315ee40a771be
ABOV,A33G52x_Series,1.0.10,A33G52x,6415afe90c98d0ed424dccbc9b18e87023945e2ab16c487346db2868d8a0ca35
ABOV,A33G53x_Series,1.0.0,A33G53x,24e9402ab97eb84b97e500d271b4facf538d3d60f061d46bb99b102017f65d86
ABOV,A33M11x_Series,1.1.0,A33M11x,906d7da792ac10e72052f6e1d2a91a25669b9085a621611f5c3eefe6cb8cd9b5
ABOV,A34M41x_Series,1.1.0,A34M41x,1114fe08988a916bab08d9d4b2ef6d78e15042183e9cbca4cd45d2570cc620b4
ABOV,AC30M1x64_Series,1.1.0,AC30M1x64,ab8b1bbf1532c7d3758827d7364a295b4fe8a4e9e8509a89f3fddde7b067ece1
ABOV,AC33Mx064_Series,1.0.0,AC33Mx064,e024b7b48871d9e2cbde5e2d4058f01ecc65ff64e663d3665eb1716b7fec6729
ABOV,AC33Mx128_Series,1.1.4,AC33Mx128,44a7b64e9a3d2f9986be8f019468a7305de92ed3ec48558975b3f768dedf8682
Active-Semi,PAC52XX,2.1.0,PAC52XX,9b8400b3a55d4183d3d28cbcae2f0c1c7b91ae3373abb7c1e8ac4436cea5a061
Active-Semi,PAC55XX,1.1.0,PAC55XX,4036f55140064aa2bb6b3288eb15c94a328a78b89ecf063436a5d8e5ad4fb8ad
AmbiqMicro,Apollo_DFP,1.3.0,apollo2,734c2fe9e6f6c552cebc3be3e6817d572f81ede514dfb7504e6cf660268e9291
AmbiqMicro,Apollo_DFP,1.3.0,apollo1,94dbe70cb78a2d2f528c04d6c087363da5b8d5a7e5469ea672b458adc4de3b68
AmbiqMicro,Apollo_DFP,1.3.0,apollo4p,b06bf2c73df106bea2a540f7e4e3d62ddff290430d1e6241ab143da37277d16e
AmbiqMicro,Apollo_DFP,1.3.0,apollo3,ffdb0aa74ca92daeae1ac42bf57c9406bd82c5361f29d996fdff4994c29a87c8
AmbiqMicro,Apollo_DFP,1.3.0,apollo4b,0b1a30915c2bd31d22b0995809b06d7945be6ac954dfd9d2f9bafd283bb3604a
AmbiqMicro,Apollo_DFP,1.3.0,apollo3p,9ee3e953eff38b0866ab5b7dc77e90eee699065dea17ab5c9a91e6f8973043a0
AnalogDevices,ADSP-SC83x_DFP,2.0.0,ADSP-SC83x_HPC,52c8a29aed5cb83b8232050fa417031f35b325bfe3cd6d10eee5610de51a51a9
AnalogDevices,ADSP-SC83x_DFP,2.0.0,ADSP-SC83xW_HPC,7b072413e76b1126743619a2f696be9339e2aefc08e328f943f98a3df1de0565
AnalogDevices,ADuCM302x_DFP,3.2.0,ADuCM302x,7fee9069e901de004d14e4ec35dd654db3533d7d28b469af59ca1f8a843c41bd
AnalogDevices,ADuCM320_DFP,1.1.0,ADuCM322,29e681a03cd0c6ea6edd8ae35651f23f67d238aabd7402a13b7c7ea65888044f
AnalogDevices,ADuCM320_DFP,1.1.0,ADuCM320,f05f7ecba42d04bad28c7400b83342058560b2943ccf0b6e6cd81fd4eb4df63c
AnalogDevices,ADuCM320_DFP,1.1.0,ADuCM320i,cef6ebe112bd224b866f5a8b6aa3e9480ccb34e7242e6e52661929337c8ee3ad
AnalogDevices,ADuCM355_DFP,1.0.3,ADuCM355,59ab2220c2e4d4aa4d36bc881c03834f44700e31da8aeb5ad7e9c51f75a6b42a
AnalogDevices,ADuCM355_DFP,1.0.4,ADuCM356,f7d67d343d32f8734f6075225cc2f312491a83a8705cf18f8461249909286a9c
AnalogDevices,ADuCM36x_DFP,1.0.4,ADuCM363,e412ec00ee16a57307876473058908150271eb45b46daa4bd26f9ffe935c52fe
AnalogDevices,ADuCM36x_DFP,1.0.4,ADuCM361,aee6c0902feb63b2eca0900ff84f252565ece13c4a1df213f97f61791408a3f3
AnalogDevices,ADuCM36x_DFP,1.0.4,ADuCM360,16849dae5eb11fbc13270951a1432c9dcac840776db607860aa969a22105d5cb
AnalogDevices,ADuCM36x_DFP,1.0.4,ADuCM362,11ed559c709be5f5298e885f1c049cc8b50dbcb11d74fdff2fd3742c5bb89997
AnalogDevices,ADuCM410_DFP,1.7.0,ADuCM410,4ff61268726dcbdd4940186093fcfd967e4c48c2aa7f88cf9d5d054558f67768
AnalogDevices,ADuCM4x50_DFP,4.0.0,ADuCM4050,a0dd3e549cce59f93267ac594eb54be50bc7e27019affd2ca34a087a0b56ce11
AnalogDevices,CM41x_M0_DFP,1.0.0,CM41x_M0,7a63fa9be12bd6171067cbf55847c605091101220ea87e56940f60ec0da2bef1
AnalogDevices,CM41x_M4_DFP,1.0.0,CM41x_M4,ea4ad91800e92d126b7b87c70bdc3bd5675d3f5cc5ef73601c83092583d5ba04
AnalogDevices,CM4xx_DFP,1.4.0,CM41x_M4,85520564e176668edc21c87430baa0fe33d31b565e655116774ec1dcc1b01d06
AnalogDevices,CM4xx_DFP,1.4.0,CM41x_M0,0fc1fa10032012c70e1572475daf00928e4a914907d8ff157a137c711d4e644b
APEXMIC,APM32F1xx_DFP,1.0.0,APM32F103xx,202e742abf0474ca09809142fec16fbe8279a404d89c98039b7e6db6070cacc4
ARM,Musca_A1_BSP,2.0.0,Musca,14b866fc9f9ef77ec1c185b9cc62cc0c838659819344c74e6af0ce178bf1681b
ARM,Musca_B1_BSP,1.1.0,Musca_B1,bb2415292b27b49c2508a8a5b003528094f1d476e4b137096071726dc9fcb6cb
ARM,Musca-S1_DFP,1.2.1,Musca_S1,738280cc1f38270111eee3c30cab903f8f129d178c3c5d52104e872f3b039aac
ARM,SSE_315_BSP,1.0.0,SSE315,3fb3c82e623349f9757e46aecdf912de45586f58f741fe57567c93bb044f2286
ARM,SSE_320_BSP,1.0.0,SSE320,2e780fdc354caad6f5a1d33eed8b46c46a2df4d7585907613291fb9bf60c4978
ARM,V2M-MPS2_SSE_200_BSP,2.0.0,MPS2_SSE_200,0941e9c873e74d928243099d4653412276a00bee50c2012b7528455d87c400a6
ARM,V2M_MPS2_SSE_300_BSP,1.0.1,SSE300,aee3afce316d0b942920fb9f03b3cd6ade2129111f8c8d672bb4b42e5a66d587
ARM,V2M-MPS3_SSE_200_BSP,1.0.0,MPS3_SSE_200,9e12a10229546b94c64ccd4481fe91b242c9d97f3efb4471c9fe78952bd78369
ARM,V2M_MPS3_SSE_300_BSP,1.3.0,SSE300,b85c8fc2121c50739b0d9ff3c6e33e11f2cf82a9d6b3e49dbac17dc1a7e7b2e7
ARM,V2M_MPS3_SSE_310_BSP,1.1.0,SSE310,e51948ad31643b7616fb32a1d4dd624484d10c56b63ec33652cbf27a5be48dec
AutoChips,AC7803x_DFP,1.0.1,AC7803x,76af3258abe1045720c207256a4676422574f1cd23e46d3bb5d923cc9362eb79
AutoChips,AC7840x_DFP,3.0.3,AC7840x,b1eb61862640c8243da9b5643da67ce5736e6d7df4b63eb81947971ef8f59d35
Brainchip,AKD1000_DeviceFamilyPack,1.0.2,AKD1000,c5e626d7bebfa3ba5b8ded32211c0ccfcbef204711d568e8e1fa8dabb848db71
Cmsemicon,BAT32A233,0.10.0,BAT32A233,cea518f2d238c7de116a3f07031565f3bc6245a213b5804b0ecfc9854af3c2c7
Cmsemicon,BAT32A237,1.0.2,BAT32A237,04e6c54de48dc3ced78dd604095c310db7c00b611bc0800012960e36fc22defc
Cmsemicon,BAT32A239,1.0.5,BAT32A239,27d6ebc5ac2550349ee89a75d81bdb099f2629d796a5035f5dd7167eca78ed4c
Cmsemicon,BAT32A279,1.0.4,BAT32A279,83ce0f1a7c3260bf00636ce06072b2eba6fa86ff687042044ce4db532a88d6e5
Cmsemicon,BAT32G127,0.11.0,BAT32G127,9121fa79192278e4e02b00708f1d83a308b30f10fc96cc2076b7afc996a4eab4
Cmsemicon,BAT32G133,1.1.4,BAT32G133,f5d92111927a03f66a978ee48a6be608f8ae9dda9119fb7ac0fec33b1d33dae1
Cmsemicon,BAT32G135,0.2.1,BAT32G135,22f9a0b57681ff32dc13e250199d25397cc3f9934bcf63e609aa2f73d9974c46
Cmsemicon,BAT32G137,3.0.11,BAT32G137,f97edcf352e5377b7e56e580927320174f1ffe4478a4fc5e0a2a48b3dc91e6b1
Cmsemicon,BAT32G137-A,2.1.0,BAT32G137A,7bb09ff2d7173790bdb62cd513a15cbb8d535224d2a0103921448215043317f6
Cmsemicon,BAT32G139,0.13.0,BAT32G139,d2a4898854823c390ddbc1f83b3628b5f4b4adf9b8ac1fbf7f0186225d3bbe35
